timestamp,N,a,shots,n_count,success,factors,period,classical_period,matches_classical,total_qubits,circuit_depth,transpiled_depth,distinct_outcomes,valid_periods_found,preprocessing_time,circuit_time,transpile_time,execution_time,postprocess_time,total_time,method
2025-11-22T10:43:32.474728,15,11,1024,,True,"[3, 5]",2,2,True,12,11,285,2,1,2.2649765014648438e-05,0.22774052619934082,0.12377166748046875,0.031131744384765625,1.7404556274414062e-05,0.3926842212677002,quantum
2025-11-22T10:43:33.275810,15,13,2048,,True,"[3, 5]",4,4,True,12,11,539,4,2,2.3603439331054688e-05,0.2763798236846924,0.13239622116088867,0.05005311965942383,2.4080276489257812e-05,0.47742581367492676,quantum
2025-11-22T10:43:34.186722,15,11,4096,,True,"[3, 5]",2,2,True,12,11,285,2,1,2.002716064453125e-05,0.21918821334838867,0.1249382495880127,0.0346074104309082,1.6689300537109375e-05,0.389310359954834,quantum
2025-11-22T10:43:35.008091,21,10,1024,,True,"[3, 7]",6,6,True,15,13,11668,57,22,2.0742416381835938e-05,3.414785861968994,0.4372274875640869,0.7872252464294434,0.00034928321838378906,4.993445873260498,quantum
2025-11-22T10:43:40.619058,21,10,2048,,True,"[3, 7]",6,6,True,15,13,11668,73,26,2.002716064453125e-05,3.432135820388794,0.43994927406311035,0.7704489231109619,0.0004737377166748047,4.99652624130249,quantum
2025-11-22T10:43:46.213476,21,10,4096,,True,"[3, 7]",6,6,True,15,13,11668,101,22,1.9311904907226562e-05,3.3995580673217773,0.44586944580078125,0.8011538982391357,0.000537872314453125,5.000992059707642,quantum
2025-11-22T10:43:51.819035,33,28,1024,,True,"[3, 11]",10,10,True,18,15,58921,77,29,2.2172927856445312e-05,22.356091022491455,1.8830385208129883,4.24040412902832,0.0004360675811767578,30.30227541923523,quantum
2025-11-22T10:44:23.222906,33,13,2048,,True,"[3, 11]",10,10,True,18,15,58941,91,40,2.9087066650390625e-05,22.41862416267395,1.8813457489013672,4.220747232437134,0.0004875659942626953,30.34657645225525,quantum
2025-11-22T10:44:54.666657,33,19,4096,,True,"[3, 11]",10,10,True,18,15,58952,131,47,2.5510787963867188e-05,22.285342931747437,1.8361921310424805,4.184788703918457,0.0006811618804931641,30.118767738342285,quantum
2025-11-22T10:45:25.888866,35,9,1024,,True,"[5, 7]",6,6,True,18,15,59034,46,24,2.0265579223632812e-05,22.517986536026,1.9654490947723389,4.219691038131714,0.000255584716796875,30.551910638809204,quantum
2025-11-22T10:45:57.532339,35,32,2048,,True,"[5, 7]",12,12,True,18,15,59051,92,33,2.5272369384765625e-05,22.412591695785522,1.9162378311157227,4.26232123374939,0.0004963874816894531,30.40776252746582,quantum
2025-11-22T10:46:29.048095,35,19,4096,,False,[],6,6,True,18,15,59033,97,36,2.1696090698242188e-05,22.463815927505493,1.9803874492645264,4.014926195144653,0.0005092620849609375,0,quantum
2025-11-22T10:47:00.420224,51,46,1024,,True,"[3, 17]",16,16,True,18,15,19719,16,8,2.1696090698242188e-05,6.9028120040893555,0.6476869583129883,1.4401113986968994,8.0108642578125e-05,9.590070009231567,quantum
2025-11-22T10:47:10.829885,51,37,2048,,True,"[3, 17]",16,16,True,18,15,19717,16,8,3.170967102050781e-05,6.903073072433472,0.6462492942810059,1.45489501953125,8.416175842285156e-05,9.590237140655518,quantum
2025-11-22T10:47:21.236499,51,14,4096,,True,"[3, 17]",16,16,True,18,15,19719,16,8,2.384185791015625e-05,6.957118988037109,0.6490139961242676,1.4332363605499268,9.1552734375e-05,9.622495651245117,quantum
2025-11-22T10:47:31.686247,55,53,1024,,True,"[5, 11]",20,20,True,18,15,59126,101,34,2.4080276489257812e-05,22.41622495651245,1.9587173461914062,4.147821664810181,0.0005898475646972656,30.353192806243896,quantum
2025-11-22T10:48:03.132481,55,24,2048,,False,[],10,10,True,18,15,59127,104,35,2.002716064453125e-05,22.618311405181885,1.9648971557617188,4.095463752746582,0.0005848407745361328,0,quantum
2025-11-22T10:48:34.765613,55,34,4096,,True,"[5, 11]",2,2,True,18,15,4942,2,1,4.00543212890625e-05,1.7367503643035889,0.24991393089294434,0.9586920738220215,1.6927719116210938e-05,3.0890953540802,quantum
2025-11-22T10:48:38.389029,77,75,1024,,True,"[7, 11]",30,30,True,21,17,281320,124,28,2.4080276489257812e-05,157.1062777042389,9.452178955078125,29.234915733337402,0.0007050037384033203,204.41406726837158,quantum
2025-11-22T10:52:07.889650,77,9,2048,,False,[],15,15,True,21,17,281319,125,60,2.3603439331054688e-05,155.77748775482178,9.424433708190918,28.998136043548584,0.000732421875,0,quantum
2025-11-22T10:55:36.262841,77,71,4096,,False,[],5,5,True,21,17,281305,97,88,2.4557113647460938e-05,156.77138543128967,9.424943685531616,28.912160396575928,0.0006992816925048828,0,quantum
2025-11-22T10:59:05.063685,91,18,1024,,True,"[7, 13]",12,12,True,21,17,281324,73,29,2.6941299438476562e-05,156.33429980278015,9.36422324180603,28.43375015258789,0.0003902912139892578,202.64803957939148,quantum
2025-11-22T11:02:32.743072,91,19,2048,,True,"[7, 13]",12,12,True,21,17,281318,103,45,2.3126602172851562e-05,156.72342705726624,9.203688383102417,28.911845207214355,0.0005669593811035156,203.50224924087524,quantum
2025-11-22T11:06:01.514675,91,9,4096,,False,[],3,3,True,21,17,281316,75,63,2.1219253540039062e-05,156.6918921470642,9.121765851974487,29.093486785888672,0.0004336833953857422,0,quantum
2025-11-22T11:09:34.270500,143,114,1024,,True,"[11, 13]",30,30,True,24,19,1298372,126,27,2.86102294921875e-05,1270.3574004173279,39.575931787490845,523.9696972370148,0.0007517337799072266,1873.4892711639404,quantum
2025-11-22T11:41:25.265462,143,17,2048,,False,[],30,30,True,24,19,1298382,164,42,2.4318695068359375e-05,1279.2150099277496,39.653762340545654,590.796621799469,0.0010051727294921875,0,quantum
2025-11-22T12:14:34.342382,143,73,4096,,True,"[11, 13]",20,20,True,24,19,1298390,209,92,2.6941299438476562e-05,1525.1624929904938,47.34878444671631,579.6687006950378,0.004584312438964844,2189.950327396393,quantum
